Recipe_ID,Recipe_Name,Cuisine_Type,Ingredients_List_0,Ingredients_List_1,Ingredients_List_2,Ingredients_List_3,Ingredients_List_4,Preparation_Steps_0_0,Preparation_Steps_0_1,Preparation_Steps_0_2,Preparation_Steps_0_3,Cooking_Time_Minutes,Difficulty_Level,User_ID,User_Preferences,User_Rating,User_Feedback,Date_Prepared,Season,Occasion,Serving_Size,Calories_Per_Serving,Allergen_Information,Cost_Per_Serving,Popularity_Score,Seasonal_Availability
R489,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,70,Easy,U151,Vegan,1,Feedback 489,2024-08-15,Fall,Dinner,6,483,Soy,11.0,109,Yes
R490,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,47,Medium,U427,Gluten-Free,5,Feedback 490,2024-07-26,Fall,Lunch,4,230,None,12.0,96,No
R491,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,56,Hard,U167,Vegetarian,4,Feedback 491,2024-11-24,Summer,Dinner,3,492,Dairy,15.0,109,No
R492,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,53,Easy,U802,None,4,Feedback 492,2024-04-20,Winter,Lunch,3,432,Gluten,7.0,443,Yes
R493,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,61,Hard,U865,Vegetarian,4,Feedback 493,2024-04-04,Summer,Casual,3,494,Dairy,16.0,226,No
R494,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,50,Hard,U213,Vegetarian,2,Feedback 494,2024-02-14,Spring,Dinner,2,395,Dairy,7.0,342,Yes
R495,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,65,Easy,U814,Vegan,5,Feedback 495,2024-07-04,Winter,Party,4,667,Soy,16.0,259,Yes
R496,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,39,Easy,U696,None,1,Feedback 496,2024-09-13,Summer,Dinner,1,227,Gluten,17.0,235,No
R497,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,18,Easy,U982,None,5,Feedback 497,2024-05-19,Winter,Casual,4,648,Gluten,9.0,236,Yes
R498,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,48,Medium,U378,None,1,Feedback 498,2024-09-11,Fall,Dinner,3,507,None,12.0,267,No
R499,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,32,Easy,U140,Vegan,4,Feedback 499,2024-12-02,Winter,Dinner,2,694,Soy,19.0,158,Yes
R500,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,43,Easy,U984,None,1,Feedback 500,2024-02-12,Winter,Party,1,739,Gluten,15.0,223,No
R501,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,15,Hard,U359,Vegetarian,3,Feedback 501,2024-11-26,Winter,Dinner,2,336,Dairy,5.0,245,No
R502,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,27,Medium,U912,None,4,Feedback 502,2024-07-17,Spring,Casual,5,431,None,12.0,394,Yes
R503,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,58,Medium,U957,None,5,Feedback 503,2024-06-14,Fall,Casual,5,546,None,13.0,411,No
R504,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,89,Medium,U730,Gluten-Free,2,Feedback 504,2024-11-09,Fall,Lunch,4,336,None,6.0,177,Yes
R505,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,49,Medium,U877,None,1,Feedback 505,2024-01-03,Summer,Lunch,6,243,None,14.0,487,Yes
R506,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,51,Medium,U306,Gluten-Free,1,Feedback 506,2024-11-05,Winter,Party,2,516,None,18.0,110,No
R507,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,22,Easy,U695,None,3,Feedback 507,2024-01-16,Summer,Lunch,3,303,Gluten,8.0,339,Yes
R508,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,59,Easy,U740,Vegan,5,Feedback 508,2024-11-22,Summer,Lunch,6,623,Soy,13.0,382,Yes
R509,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,15,Medium,U730,None,5,Feedback 509,2024-05-09,Spring,Dinner,4,407,None,8.0,322,No
R510,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,73,Hard,U224,Vegetarian,5,Feedback 510,2024-01-24,Fall,Casual,3,206,Dairy,15.0,132,Yes
R511,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,30,Medium,U380,None,1,Feedback 511,2024-02-23,Spring,Lunch,1,202,None,14.0,301,No
R512,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,33,Hard,U122,Vegetarian,4,Feedback 512,2024-01-24,Fall,Dinner,6,767,Dairy,10.0,100,Yes
R513,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,77,Easy,U158,Vegan,4,Feedback 513,2024-01-05,Summer,Party,6,778,Soy,12.0,354,Yes
R514,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,29,Easy,U749,None,3,Feedback 514,2024-04-27,Summer,Dinner,4,477,Gluten,14.0,267,No
R515,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,78,Medium,U386,None,2,Feedback 515,2024-05-22,Summer,Lunch,2,342,None,14.0,360,No
R516,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,86,Hard,U725,Vegetarian,2,Feedback 516,2024-02-09,Spring,Lunch,3,563,Dairy,9.0,381,No
R517,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,81,Medium,U961,None,5,Feedback 517,2024-07-17,Summer,Dinner,5,757,None,6.0,57,No
R518,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,89,Medium,U163,Gluten-Free,3,Feedback 518,2024-06-03,Fall,Lunch,2,563,None,11.0,90,No
R519,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,34,Medium,U521,Gluten-Free,1,Feedback 519,2024-11-04,Fall,Casual,2,356,None,11.0,198,No
R520,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,45,Hard,U939,Vegetarian,1,Feedback 520,2024-06-09,Fall,Casual,4,241,Dairy,10.0,282,Yes
R521,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,21,Easy,U270,None,5,Feedback 521,2024-07-16,Summer,Party,4,568,Gluten,20.0,393,Yes
R522,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,30,Hard,U324,Vegetarian,4,Feedback 522,2024-10-10,Spring,Casual,5,464,Dairy,17.0,68,Yes
R523,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,50,Medium,U131,None,3,Feedback 523,2024-12-25,Spring,Dinner,6,608,None,13.0,251,Yes
R524,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,55,Easy,U773,None,4,Feedback 524,2024-02-25,Summer,Dinner,6,529,Gluten,19.0,206,No
R525,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,50,Medium,U825,None,1,Feedback 525,2024-07-29,Summer,Party,4,481,None,7.0,143,No
R526,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,17,Hard,U614,Vegetarian,4,Feedback 526,2024-08-12,Summer,Party,1,771,Dairy,10.0,141,Yes
R527,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,30,Hard,U605,Vegetarian,4,Feedback 527,2024-01-18,Winter,Casual,3,513,Dairy,19.0,139,No
R528,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,82,Easy,U846,None,5,Feedback 528,2024-03-26,Summer,Casual,2,386,Gluten,18.0,409,No
R529,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,88,Hard,U924,Vegetarian,2,Feedback 529,2024-08-27,Fall,Dinner,1,438,Dairy,7.0,323,No
R530,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,74,Hard,U517,Vegetarian,3,Feedback 530,2024-01-03,Summer,Casual,1,415,Dairy,8.0,164,Yes
R531,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,59,Easy,U165,Vegan,5,Feedback 531,2024-04-12,Fall,Lunch,2,683,Soy,18.0,109,No
R532,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,67,Easy,U574,None,2,Feedback 532,2024-10-28,Fall,Lunch,2,717,Gluten,6.0,89,No
R533,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,29,Medium,U750,None,1,Feedback 533,2024-12-25,Summer,Casual,4,370,None,18.0,306,Yes
R534,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,39,Medium,U897,None,1,Feedback 534,2024-05-17,Summer,Dinner,3,220,None,12.0,114,Yes
R535,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,69,Hard,U242,Vegetarian,4,Feedback 535,2024-11-11,Fall,Lunch,6,794,Dairy,12.0,206,Yes
R536,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,52,Medium,U667,Gluten-Free,4,Feedback 536,2024-10-28,Summer,Party,3,426,None,12.0,146,No
R537,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,68,Hard,U631,Vegetarian,4,Feedback 537,2024-12-04,Fall,Party,5,565,Dairy,12.0,409,No
R538,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,18,Medium,U442,None,1,Feedback 538,2024-06-13,Summer,Party,4,534,None,12.0,286,No
R539,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,84,Medium,U138,None,5,Feedback 539,2024-12-05,Spring,Party,1,337,None,15.0,296,No
R540,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,77,Medium,U750,None,5,Feedback 540,2024-02-05,Fall,Lunch,6,585,None,16.0,384,Yes
R541,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,75,Easy,U678,None,4,Feedback 541,2024-12-18,Winter,Party,5,543,Gluten,17.0,274,Yes
R542,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,30,Hard,U452,Vegetarian,1,Feedback 542,2024-08-22,Fall,Dinner,5,584,Dairy,9.0,464,Yes
R543,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,16,Easy,U750,Vegan,2,Feedback 543,2024-08-24,Winter,Lunch,5,317,Soy,11.0,249,Yes
R544,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,55,Medium,U379,Gluten-Free,1,Feedback 544,2024-10-08,Winter,Lunch,6,391,None,15.0,460,Yes
R545,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,74,Easy,U526,None,1,Feedback 545,2024-03-24,Winter,Lunch,4,295,Gluten,13.0,355,No
R546,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,55,Medium,U790,None,1,Feedback 546,2024-06-24,Winter,Casual,1,660,None,17.0,405,No
R547,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,45,Easy,U636,None,4,Feedback 547,2024-06-06,Summer,Casual,4,593,Gluten,6.0,92,Yes
R548,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,82,Easy,U392,None,3,Feedback 548,2024-03-13,Winter,Lunch,2,377,Gluten,13.0,335,No
R549,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,68,Medium,U243,None,3,Feedback 549,2024-08-23,Summer,Casual,1,298,None,5.0,463,Yes
R550,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,82,Hard,U874,Vegetarian,3,Feedback 550,2024-07-24,Fall,Party,1,431,Dairy,10.0,266,Yes
R551,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,15,Easy,U604,Vegan,2,Feedback 551,2024-04-17,Winter,Party,6,726,Soy,7.0,280,Yes
R552,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,78,Medium,U738,Gluten-Free,3,Feedback 552,2024-02-13,Spring,Casual,5,622,None,16.0,375,Yes
R553,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,50,Medium,U689,None,2,Feedback 553,2024-12-13,Winter,Casual,2,428,None,5.0,131,Yes
R554,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,88,Hard,U348,Vegetarian,5,Feedback 554,2024-10-05,Spring,Lunch,4,583,Dairy,16.0,259,Yes
R555,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,90,Medium,U424,Gluten-Free,1,Feedback 555,2024-12-08,Fall,Dinner,2,603,None,16.0,112,Yes
R556,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,84,Easy,U484,Vegan,5,Feedback 556,2024-03-16,Summer,Casual,6,774,Soy,17.0,471,Yes
R557,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,76,Medium,U582,None,5,Feedback 557,2024-11-11,Winter,Dinner,6,286,None,15.0,234,No
R558,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,35,Medium,U792,Gluten-Free,4,Feedback 558,2024-11-03,Spring,Casual,5,327,None,15.0,74,Yes
R559,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,63,Hard,U672,Vegetarian,3,Feedback 559,2024-10-24,Winter,Lunch,3,431,Dairy,19.0,352,No
R560,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,62,Hard,U730,Vegetarian,2,Feedback 560,2024-10-03,Fall,Lunch,1,540,Dairy,5.0,489,Yes
R561,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,68,Medium,U911,Gluten-Free,5,Feedback 561,2024-11-20,Summer,Dinner,1,604,None,17.0,199,Yes
R562,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,23,Medium,U952,None,4,Feedback 562,2024-04-11,Summer,Dinner,5,304,None,18.0,55,No
R563,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,70,Hard,U713,Vegetarian,3,Feedback 563,2024-05-09,Spring,Dinner,2,579,Dairy,8.0,344,No
R564,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,66,Easy,U394,Vegan,5,Feedback 564,2024-03-01,Fall,Lunch,5,669,Soy,8.0,381,Yes
R565,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,89,Easy,U235,None,3,Feedback 565,2024-01-04,Fall,Lunch,5,800,Gluten,15.0,195,Yes
R566,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,83,Medium,U396,Gluten-Free,1,Feedback 566,2024-02-16,Summer,Party,6,569,None,10.0,383,No
R567,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,58,Medium,U494,Gluten-Free,1,Feedback 567,2024-01-07,Fall,Party,2,717,None,18.0,500,Yes
R568,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,43,Medium,U995,Gluten-Free,4,Feedback 568,2024-05-23,Winter,Casual,5,474,None,18.0,68,Yes
R569,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,19,Medium,U107,Gluten-Free,1,Feedback 569,2024-09-02,Spring,Dinner,5,368,None,7.0,224,No
R570,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,36,Medium,U448,None,5,Feedback 570,2024-08-28,Winter,Lunch,3,740,None,7.0,60,No
R571,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,46,Easy,U126,None,3,Feedback 571,2024-04-15,Spring,Lunch,1,651,Gluten,17.0,103,No
R572,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,43,Easy,U612,None,1,Feedback 572,2024-10-28,Spring,Lunch,4,769,Gluten,6.0,491,No
R573,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,64,Hard,U220,Vegetarian,3,Feedback 573,2024-08-30,Winter,Lunch,5,770,Dairy,16.0,314,No
R574,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,79,Medium,U103,None,3,Feedback 574,2024-10-26,Summer,Dinner,4,454,None,7.0,324,No
R575,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,64,Medium,U234,None,2,Feedback 575,2024-03-08,Fall,Dinner,1,760,None,8.0,307,No
R576,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,40,Hard,U676,Vegetarian,4,Feedback 576,2024-09-22,Spring,Casual,2,648,Dairy,15.0,338,Yes
R577,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,70,Medium,U603,Gluten-Free,2,Feedback 577,2024-01-29,Winter,Casual,5,484,None,15.0,126,No
R578,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,40,Hard,U677,Vegetarian,5,Feedback 578,2024-02-18,Winter,Casual,4,347,Dairy,15.0,83,No
R579,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,25,Hard,U751,Vegetarian,4,Feedback 579,2024-05-03,Summer,Party,2,229,Dairy,6.0,384,No
R580,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,45,Easy,U934,Vegan,2,Feedback 580,2024-03-09,Spring,Lunch,2,216,Soy,9.0,467,Yes
R581,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,73,Easy,U626,Vegan,2,Feedback 581,2024-10-23,Winter,Lunch,5,412,Soy,14.0,182,No
R582,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,59,Medium,U493,Gluten-Free,2,Feedback 582,2024-06-14,Fall,Lunch,2,255,None,11.0,477,Yes
R583,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,40,Medium,U671,None,2,Feedback 583,2024-04-18,Winter,Party,1,552,None,8.0,381,No
R584,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,26,Easy,U430,None,2,Feedback 584,2024-10-01,Spring,Party,3,548,Gluten,16.0,87,Yes
R585,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,59,Hard,U324,Vegetarian,1,Feedback 585,2024-06-09,Summer,Casual,2,343,Dairy,14.0,123,No
R586,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,19,Hard,U967,Vegetarian,1,Feedback 586,2024-12-11,Summer,Casual,4,569,Dairy,14.0,218,Yes
R587,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,55,Medium,U957,None,1,Feedback 587,2024-01-31,Summer,Party,4,625,None,16.0,225,No
R588,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,30,Easy,U235,Vegan,2,Feedback 588,2024-12-21,Winter,Party,1,442,Soy,7.0,443,No
R589,Vegetable Stir Fry,Chinese,Broccoli, Carrot, Bell Pepper, Soy Sauce, Garlic,Chop veggies, Stir-fry, Add sauce, Serve.,72,Easy,U758,Vegan,1,Feedback 589,2024-08-16,Summer,Lunch,2,257,Soy,10.0,250,No
R590,Margherita Pizza,Italian,Pizza Dough, Tomato Sauce, Mozzarella, Basil, Olive Oil,Prepare dough, Add toppings, Bake pizza.,,67,Hard,U886,Vegetarian,2,Feedback 590,2024-04-05,Fall,Casual,5,491,Dairy,10.0,231,Yes
R591,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,66,Easy,U250,None,4,Feedback 591,2024-06-17,Summer,Dinner,3,538,Gluten,18.0,337,Yes
R592,Chicken Curry,Indian,Chicken, Curry Powder, Coconut Milk, Onion, Garlic,Cook chicken, Add spices, Pour coconut milk, Simmer.,45,Medium,U855,Gluten-Free,4,Feedback 592,2024-11-01,Spring,Dinner,1,250,None,15.0,499,No
R593,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,43,Medium,U934,None,4,Feedback 593,2024-08-29,Spring,Casual,1,732,None,9.0,410,Yes
R594,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,85,Easy,U428,None,2,Feedback 594,2024-06-16,Fall,Dinner,5,485,Gluten,9.0,309,Yes
R595,Beef Tacos,Mexican,Beef, Taco Shells, Lettuce, Cheese, Tomato,Cook beef, Prepare toppings, Assemble tacos.,,65,Medium,U114,None,2,Feedback 595,2024-02-20,Fall,Party,6,472,None,8.0,344,Yes
R596,Spaghetti Bolognese,Italian,Spaghetti, Ground Beef, Tomato Sauce, Onion, Garlic,Boil pasta, Cook beef, Add sauce, Combine.,26,Easy,U897,None,2,Feedback 596,2024-07-15,Summer,Party,6,630,Gluten,11.0,292,Yes
